"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","Consensus"
"0660d5013e756cb439eabd19c84ce392","Eukaryota","Amorphea","Amoebozoa","Incertae Sedis","Breviatea","Subulatomonas","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"066ceee24665b0a011bd37dc86eee39d","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Prasinophytae","Pseudoscourfieldiales","Prasinoderma","Prasinoderma singulare","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"0686583d80ef19228156954b1c21c437","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeina","Linhomoeina_infraorder","Siphonolaimoidea","Linhomoeidae","Terschellingia","1"
"069c80879eedc34c591768d79e751cc4","Eukaryota","Amorphea","Obazoa","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota","Pezizomycotina","Leotiomycetes","Incertae Sedis","Myxotrichaceae","Byssoascus","Byssoascus striatosporus","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06a66334c084409c34c2f4493f182200","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06ad0751ad4c2101b468c02ec8a477fe","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Enoplea","Enoplia","Enoplida","Oncholaimina","Oncholaimina_infraorder","Oncholaimoidea","Enchelidiidae","Calyptronema","1"
"06b48dbb3fb2c2154ef85deaaf154679","Eukaryota","SAR","Rhizaria","Cercozoa","Thecofilosea","Ebriacea","Ebria","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06ea419e8bf485274f07ede39db056b1","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06efb8fed334662b02f76006f9376000","Eukaryota","SAR","Rhizaria","Cercozoa","Phytomyxea","uncultured Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06f0e24889e6d5bb6c1c60838c8ffde5","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06f2d032ac77e396ac8cf0b5eadcf968","Eukaryota","Amorphea","Amoebozoa","Incertae Sedis","Breviatea","Subulatomonas","uncultured eukaryote","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06f3aa465e0b69edce1fc1abb1747d1c","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"06fdb9e254cc73d5283194622e0f7e14","Eukaryota","Amorphea","Obazoa","Opisthokonta","Holozoa","Choanozoa","Metazoa","Animalia","BCPclade","Bilateria","Protostomia","Ecdysozoa","Nematozoa","Nematoda","Chromadorea","Chromadoria","Araeolaimida","Araeolaimida_suborder","Araeolaimida_infraorder","Axonolaimoidea","Diplopeltidae","Neodiplopeltula","1"
"070f4df210977c67770a9dcbee2d1552","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellophyceae","DSGM-81","uncultured Chlorophyta","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
"070fc751ac09da2ae51bda5f77f13a3a","Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Mamiellophyceae","DSGM-81","uncultured Chlorophyta","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","1"
